country_code,playlist_name,playlist_description,playlist_id,playlist_url,playlist_owner,track_api,tracks_total
KM,Sleep,Gentle Ambient piano to help you fall asleep. ,37i9dQZF1DWZd79rJ6a7lp,https://open.spotify.com/playlist/37i9dQZF1DWZd79rJ6a7lp,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWZd79rJ6a7lp/tracks,235
KM,Heart Beats,"<a href=""spotify:genre:edm_dance"">Dance music</a> for the heart <3",37i9dQZF1DWSRc3WJklgBs,https://open.spotify.com/playlist/37i9dQZF1DWSRc3WJklgBs,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWSRc3WJklgBs/tracks,230
KM,Peaceful Piano,"Peaceful piano to help you slow down, breathe, and relax. ",37i9dQZF1DX4sWSpwq3LiO,https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX4sWSpwq3LiO/tracks,299
KM,Deep Sleep,"Soothing, minimalist ambient for deep sleep.",37i9dQZF1DWYcDQ1hSjOpY,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWYcDQ1hSjOpY/tracks,328
KM,Bedroom Pop,Dreamy jams from the best bedroom producers. Cover: Clairo,37i9dQZF1DXcxvFzl58uP7,https://open.spotify.com/playlist/37i9dQZF1DXcxvFzl58uP7,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXcxvFzl58uP7/tracks,100
KM,Jazz Rap,Laid back cratedigger hip-hop from around the world.,37i9dQZF1DX8Kgdykz6OKj,https://open.spotify.com/playlist/37i9dQZF1DX8Kgdykz6OKj,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX8Kgdykz6OKj/tracks,100
KM,Soft Rock,"It's like rock, but softer. Cover: Billy Joel",37i9dQZF1DX6xOPeSOGone,https://open.spotify.com/playlist/37i9dQZF1DX6xOPeSOGone,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX6xOPeSOGone/tracks,75
KM,Classical Sleep,Drift off to these peaceful classical melodies.,37i9dQZF1DX8Sz1gsYZdwj,https://open.spotify.com/playlist/37i9dQZF1DX8Sz1gsYZdwj,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX8Sz1gsYZdwj/tracks,69
KN,Rain Sounds,Simply rain ,37i9dQZF1DX8ymr6UES7vc,https://open.spotify.com/playlist/37i9dQZF1DX8ymr6UES7vc,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX8ymr6UES7vc/tracks,293
KN,Dark & Stormy,"Beautifully dark, dramatic tracks.",37i9dQZF1DX2pSTOxoPbx9,https://open.spotify.com/playlist/37i9dQZF1DX2pSTOxoPbx9,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX2pSTOxoPbx9/tracks,100
KN,90s Love Songs,"Tight Roll your jeans, break out the CK1, and set the mood...",37i9dQZF1DWXqpDKK4ed9O,https://open.spotify.com/playlist/37i9dQZF1DWXqpDKK4ed9O,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWXqpDKK4ed9O/tracks,50
KN,Sleep,Gentle Ambient piano to help you fall asleep. ,37i9dQZF1DWZd79rJ6a7lp,https://open.spotify.com/playlist/37i9dQZF1DWZd79rJ6a7lp,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWZd79rJ6a7lp/tracks,235
KN,Heart Beats,"<a href=""spotify:genre:edm_dance"">Dance music</a> for the heart <3",37i9dQZF1DWSRc3WJklgBs,https://open.spotify.com/playlist/37i9dQZF1DWSRc3WJklgBs,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWSRc3WJklgBs/tracks,230
KN,Peaceful Piano,"Peaceful piano to help you slow down, breathe, and relax. ",37i9dQZF1DX4sWSpwq3LiO,https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX4sWSpwq3LiO/tracks,299
KN,Deep Sleep,"Soothing, minimalist ambient for deep sleep.",37i9dQZF1DWYcDQ1hSjOpY,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWYcDQ1hSjOpY/tracks,328
KN,Bedroom Pop,Dreamy jams from the best bedroom producers. Cover: Clairo,37i9dQZF1DXcxvFzl58uP7,https://open.spotify.com/playlist/37i9dQZF1DXcxvFzl58uP7,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXcxvFzl58uP7/tracks,100
KN,Jazz Rap,Laid back cratedigger hip-hop from around the world.,37i9dQZF1DX8Kgdykz6OKj,https://open.spotify.com/playlist/37i9dQZF1DX8Kgdykz6OKj,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX8Kgdykz6OKj/tracks,100
KN,Soft Rock,"It's like rock, but softer. Cover: Billy Joel",37i9dQZF1DX6xOPeSOGone,https://open.spotify.com/playlist/37i9dQZF1DX6xOPeSOGone,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX6xOPeSOGone/tracks,75
KN,Classical Sleep,Drift off to these peaceful classical melodies.,37i9dQZF1DX8Sz1gsYZdwj,https://open.spotify.com/playlist/37i9dQZF1DX8Sz1gsYZdwj,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX8Sz1gsYZdwj/tracks,69
KR,인기가요 Hot Now,지금 국내에서 가장 핫한 노래들을 만나보세요! (커버: 정국),37i9dQZF1DX0sa2Fqej3CR,https://open.spotify.com/playlist/37i9dQZF1DX0sa2Fqej3CR,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX0sa2Fqej3CR/tracks,53
KR,Hot Hits Korea,국내외 가장 핫한 노래들을 만나보세요! (커버: NewJeans),37i9dQZF1DWT9uTRZAYj0c,https://open.spotify.com/playlist/37i9dQZF1DWT9uTRZAYj0c,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWT9uTRZAYj0c/tracks,50
KR,New Music K-Pop,Enjoy the freshest K-Pop new releases (Cover: THE BOYZ(더 보이즈)),37i9dQZF1DXe5W6diBL5N4,https://open.spotify.com/playlist/37i9dQZF1DXe5W6diBL5N4,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXe5W6diBL5N4/tracks,159
KR,New Music Friday Korea,매주 업데이트 되는 국내외 신곡들을 만나보세요. (커버: Olivia Rodrigo),37i9dQZF1DXdlsL6CGuL98,https://open.spotify.com/playlist/37i9dQZF1DXdlsL6CGuL98,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXdlsL6CGuL98/tracks,81
KR,국내 가요 Rising,화제가 되고 있는 국내 곡들을 만나보세요! (커버: 마마무+)),37i9dQZF1DX7U4heegzBR6,https://open.spotify.com/playlist/37i9dQZF1DX7U4heegzBR6,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX7U4heegzBR6/tracks,74
KR,Pop Rising Korea,지금 국내에서 떠오르고 있는 팝 음악을 만나보세요! (커버: Jamie Miller),37i9dQZF1DWVuUd3Ffrcx8,https://open.spotify.com/playlist/37i9dQZF1DWVuUd3Ffrcx8,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWVuUd3Ffrcx8/tracks,51
